Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
pp_sys.stats,136,13,80,244,267,186,0,22,-22,0,500.perlbench_r,-0.007,0.0,0.063,0.0,363726.0,363726.0
Peek.stats,15,11,0,32,16,29,0,22,-22,0,500.perlbench_r,-0.219,0.0,1.051,0.0,12289.0,12289.0
sv.stats,210,28,4,231,304,163,0,20,-280,0,500.perlbench_r,-0.023,0.0,0.011,0.0,1392693.0,1392433.0
encoder.stats,71,26,0,75,88,28,0,19,-19,0,525.x264_r,-0.002,0.0,0.007,0.0,1523794.0,1523794.0
Glob.stats,23,11,1,42,23,35,0,19,-19,0,500.perlbench_r,-0.126,0.0,0.892,0.0,17320.0,17320.0
Cwd.stats,22,9,0,39,22,36,0,18,-18,0,500.perlbench_r,-0.173,0.0,0.907,0.0,12446.0,12446.0
mathoms.stats,14,13,0,33,14,26,0,18,-18,0,500.perlbench_r,-1.875,0.0,4.063,0.0,1545.0,1545.0
df-scan.stats,32,12,0,253,49,88,0,17,-17,0,502.gcc_r,-0.003,0.0,0.079,0.0,536111.0,536111.0
ratecontrol.stats,37,20,2,43,37,16,0,16,-16,0,525.x264_r,-0.004,0.0,0.025,0.0,424693.0,424693.0
MD5.stats,128,9,0,145,302,52,0,16,-16,0,500.perlbench_r,-0.057,0.0,0.089,0.0,46464.0,46464.0
Util.stats,10,8,8,36,12,30,0,16,-16,0,500.perlbench_r,-0.131,0.0,0.77,0.0,14395.0,14395.0
mro.stats,17,8,8,44,17,37,0,16,-16,0,500.perlbench_r,-0.034,0.0,0.604,0.0,50129.0,50129.0
tree-vect-stmts.stats,28,10,0,554,139,190,0,15,-15,0,502.gcc_r,-0.003,0.0,0.018,0.0,521839.0,521839.0
Dumper.stats,47,5,7,71,73,65,0,14,-14,0,500.perlbench_r,-0.003,0.0,0.025,0.0,550636.0,550636.0
cplus-dem.stats,41,8,2,44,398,22,0,14,-14,0,502.gcc_r,-0.001,0.0,0.023,0.0,1237077.0,1237077.0
FieldHash.stats,12,7,2,33,13,28,0,14,-14,0,500.perlbench_r,-0.101,0.0,0.607,0.0,16410.0,16410.0
cfganal.stats,65,8,16,269,87,100,0,13,-13,0,502.gcc_r,-0.03,0.0,0.403,0.0,47714.0,47714.0
Base64.stats,69,6,1,89,69,49,0,12,-12,0,500.perlbench_r,-0.028,0.0,0.296,0.0,46623.0,46623.0
ImageValidator.stats,46,16,0,50,62,8,0,12,-12,0,525.x264_r,-0.029,0.0,0.027,0.0,85085.0,85085.0
sha512.stats,4,1,0,10,20,7,0,12,-665,2,557.xz_r,-22.421,5.0,0.278,0.0,7404.0,6753.0
cpp_macro.stats,46,8,1,47,91,33,0,11,-11,0,502.gcc_r,-0.009,0.0,0.15,0.0,136365.0,136365.0
spec_mem_io.stats,39,11,0,43,48,13,0,9,-9,0,557.xz_r,-0.178,0.0,0.376,0.0,7464.0,7464.0
arybase.stats,6,4,8,31,6,22,0,8,-8,0,500.perlbench_r,-0.048,0.0,0.185,0.0,21102.0,21102.0
perlio.stats,64,11,1,88,165,61,0,8,-278,0,500.perlbench_r,-0.253,0.0,0.045,0.0,129235.0,128965.0
NamedCapture.stats,6,4,2,25,6,22,0,8,-8,0,500.perlbench_r,-0.124,0.0,0.659,0.0,7792.0,7792.0
attributes.stats,5,4,2,26,5,22,0,8,-8,0,500.perlbench_r,-0.079,0.0,0.619,0.0,11537.0,11537.0
pp_sort.stats,58,5,0,79,300,45,0,8,-8,0,500.perlbench_r,-0.001,0.0,0.023,0.0,959663.0,959663.0
erc_do_p.stats,43,12,0,47,63,16,0,8,-1070,0,525.x264_r,-0.527,0.0,0.058,0.0,217602.0,216540.0
parset.stats,17,10,9,30,17,14,0,7,-7,0,525.x264_r,-0.015,0.0,0.03,0.0,70325.0,70325.0
perl.stats,13,8,12,47,17,37,0,7,-7,0,500.perlbench_r,-0.002,0.0,0.006,0.0,453000.0,453000.0
dwarf2out.stats,48,10,1,468,603,166,0,6,-6,0,502.gcc_r,-0.0,0.0,0.001,0.0,6769930.0,6769930.0
caller-save.stats,16,8,0,209,19,72,0,6,-6,0,502.gcc_r,-0.01,0.0,0.031,0.0,79649.0,79649.0
ira.stats,9,4,2,293,18,103,0,6,-6,0,502.gcc_r,-0.001,0.0,0.008,0.0,620278.0,620278.0
ipa-utils.stats,16,8,0,331,20,112,0,5,-5,0,502.gcc_r,-0.145,0.0,0.859,0.0,4119.0,4119.0
index_hash.stats,11,5,0,15,11,8,0,5,-5,0,557.xz_r,-1.887,0.0,0.94,0.0,882.0,882.0
pp.stats,236,26,24,286,309,224,-2,4,-487,-25,500.perlbench_r,-0.113,-1.06,0.012,-0.117,467987.0,467477.0
ddg.stats,16,4,0,276,18,94,0,4,-4,0,502.gcc_r,-0.006,0.0,0.062,0.0,76955.0,76955.0
lto-section-in.stats,3,2,0,408,12,139,0,4,-4,0,502.gcc_r,-0.407,0.0,1.681,0.0,1299.0,1299.0
DynaLoader.stats,3,2,0,22,3,18,0,4,-4,0,500.perlbench_r,-0.828,0.0,2.837,0.0,631.0,631.0
dominance.stats,20,7,0,205,32,70,0,4,-4,0,502.gcc_r,-0.003,0.0,0.068,0.0,126205.0,126205.0
utf8.stats,103,4,6,122,170,104,0,4,-4,0,500.perlbench_r,-0.004,0.0,0.02,0.0,124220.0,124220.0
re.stats,4,2,1,24,4,20,0,4,-4,0,500.perlbench_r,-0.238,0.0,1.843,0.0,1909.0,1909.0
tree-ssa-live.stats,14,6,0,321,20,111,0,4,-4,0,502.gcc_r,-0.006,0.0,0.06,0.0,77870.0,77870.0
annexb.stats,8,1,2,12,15,12,0,4,-4,0,525.x264_r,-0.133,0.0,0.727,0.0,3661.0,3661.0
tree-object-size.stats,5,3,0,320,5,110,0,4,-4,0,502.gcc_r,-0.005,0.0,0.025,0.0,92781.0,92781.0
pad.stats,16,6,5,37,22,23,0,4,-4,0,500.perlbench_r,-0.003,0.0,0.037,0.0,133015.0,133015.0
tree-ssa-loop-ivopts.stats,19,5,0,412,23,142,0,4,-4,0,502.gcc_r,-0.001,0.0,0.004,0.0,799564.0,799564.0
av.stats,21,4,0,44,118,30,0,4,-4,0,500.perlbench_r,-0.022,0.0,0.358,0.0,20043.0,20043.0
biaridecod.stats,3,2,0,7,6,5,0,4,-4,0,525.x264_r,-1.316,0.0,5.128,0.0,419.0,419.0
dse.stats,11,8,2,219,15,79,0,3,-3,0,502.gcc_r,-0.001,0.0,0.004,0.0,478344.0,478344.0
cpp_charset.stats,13,4,0,17,42,9,0,3,-3,0,502.gcc_r,-0.023,0.0,0.044,0.0,19977.0,19977.0
cpp_files.stats,12,4,0,12,16,8,0,3,-232,0,502.gcc_r,-0.577,0.0,0.076,0.0,44746.0,44517.0
graph.stats,3,1,0,196,9,67,0,3,-3,0,502.gcc_r,-0.009,0.0,0.057,0.0,37418.0,37418.0
Hostname.stats,1,1,1,21,1,17,0,2,-2,0,500.perlbench_r,-1.481,0.0,5.263,0.0,174.0,174.0
mro_core.stats,19,1,2,38,27,31,0,2,-2,0,500.perlbench_r,-0.001,0.0,0.016,0.0,250631.0,250631.0
hashtab.stats,5,1,0,5,6,5,0,2,-2,0,502.gcc_r,-0.044,0.0,0.137,0.0,6315.0,6315.0
tree-ssa-coalesce.stats,10,4,0,321,18,110,0,2,-2,0,502.gcc_r,-0.001,0.0,0.007,0.0,277082.0,277082.0
util.stats,17,1,0,36,35,24,0,2,-2,0,500.perlbench_r,-0.002,0.0,0.014,0.0,97065.0,97065.0
