Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
utility.stats,34,0,5,44,42,24,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,21195.0,21195.0
registry.stats,0,0,0,4,0,4,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,2152.0,2152.0
shear.stats,8,0,0,39,40,36,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,118976.0,118976.0
transform.stats,12,0,0,43,12,42,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,70147.0,70147.0
fx.stats,25,0,0,56,25,46,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,127354.0,127354.0
sculpt_undo.stats,0,0,0,32,0,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,308041.0,308041.0
anim_deps.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,5893.0,5893.0
object_modifier.stats,6,3,1,39,6,15,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,44366.0,44366.0
textview.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3018.0,3018.0
pose_lib.stats,8,4,1,14,8,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,35151.0,35151.0
mask_add.stats,8,4,0,24,10,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,28852.0,28852.0
ed_transverts.stats,5,0,5,37,5,16,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,153145.0,153145.0
keyframes_draw.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,11100.0,11100.0
keyframing.stats,4,4,0,23,4,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,27000.0,27000.0
sculpt.stats,2,1,0,34,2,12,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4141191.0,4141191.0
uvedit_ops.stats,10,5,0,42,10,17,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,634371.0,634371.0
outliner_select.stats,0,0,0,2,0,1,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,28888.0,28888.0
pose_select.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,25407.0,25407.0
view3d_walk.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,52336.0,52336.0
graph_ops.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,16388.0,16388.0
clip_draw.stats,2,2,0,18,2,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,179891.0,179891.0
logic_window.stats,4,0,0,10,4,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,221167.0,221167.0
paint_ops.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,126465.0,126465.0
space_info.stats,2,1,0,8,2,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4221.0,4221.0
clip_utils.stats,3,0,0,21,9,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3091.0,3091.0
sequencer_add.stats,4,0,4,22,4,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,20638.0,20638.0
paint_cursor.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,17541.0,17541.0
anim_markers.stats,3,0,1,9,3,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,23358.0,23358.0
mask_select.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,13156.0,13156.0
view3d_ruler.stats,2,0,2,20,2,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,61563.0,61563.0
editarmature_sketch.stats,4,0,2,20,8,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,109933.0,109933.0
screen_context.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,49770.0,49770.0
keyframes_edit.stats,2,1,0,20,2,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,13599.0,13599.0
view2d_ops.stats,4,0,0,10,4,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,32731.0,32731.0
space_view3d.stats,4,2,0,22,4,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,39733.0,39733.0
wm_operators.stats,12,5,1,29,32,14,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,215015.0,215015.0
object_select.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,87159.0,87159.0
rigidbody_world.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,655.0,655.0
interface_anim.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1483.0,1483.0
transform_manipulator.stats,13,1,1,43,15,13,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,106781.0,106781.0
logic_buttons.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3607.0,3607.0
outliner_tree.stats,2,0,0,6,2,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,985999.0,985999.0
interface_icons.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,5278.0,5278.0
reeb.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,29853.0,29853.0
gpencil_undo.stats,2,0,0,6,2,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,956.0,956.0
wm_jobs.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,6687.0,6687.0
transform_generics.stats,4,3,0,36,4,13,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,127428.0,127428.0
ed_util.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1777.0,1777.0
uvedit_draw.stats,3,1,0,33,3,12,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,286493.0,286493.0
armature_skinning.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,21881.0,21881.0
armature_naming.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,11106.0,11106.0
console_ops.stats,8,4,2,26,16,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,27122.0,27122.0
curve_ops.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,23039.0,23039.0
